date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:48	3290/3290	---M--	200	added ('OK')	application/javascript	etag:%22cda-4effcc45bf300%22	http://www.math.iitb.ac.in/~assoc/assets/js/headroom.min.js	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/js/headroom.min.js	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:48	547/547	---M--	200	added ('OK')	application/javascript	etag:%22223-4effcc45bf300%22	http://www.math.iitb.ac.in/~assoc/assets/js/jQuery.headroom.min.js	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/js/jQuery.headroom.min.js	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:49	217/217	---M--	200	added ('OK')	application/javascript	etag:%22d9-4f12fea176000%22	http://www.math.iitb.ac.in/~assoc/assets/js/template.js	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/js/template.js	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:50	250/250	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:35%20GMT	http://www.math.iitb.ac.in/~assoc/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/glyphicons-halflings-regular.eot	(from http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css)
11:13:50	250/250	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:36%20GMT	http://www.math.iitb.ac.in/~assoc/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css)
11:13:50	251/251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:36%20GMT	http://www.math.iitb.ac.in/~assoc/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/glyphicons-halflings-regular.woff	(from http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css)
11:13:51	250/250	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:36%20GMT	http://www.math.iitb.ac.in/~assoc/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/glyphicons-halflings-regular.ttf	(from http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css)
11:13:51	250/250	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:37%20GMT	http://www.math.iitb.ac.in/~assoc/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/fonts/glyphicons-halflings-regular.svg	(from http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css)
11:13:57	121384/121384	---M--	200	added ('OK')	image/gif	etag:%221da28-52ea995897f14%22	http://www.math.iitb.ac.in/~assoc/assets/images/logo1.gif	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/images/logo1.gif	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:57	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/we/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://www.math.iitb.ac.in/~assoc/index.html)
